dimension,group,quantity,policy,value,case,role,seed
nationality,ROW,principal_exits_2025_2040,Capped,653817.0,catchall_60_65,primary,2016
nationality,ROW,principal_exits_2025_2040,Uncapped,790159.0,catchall_60_65,primary,2016
nationality,ROW,principal_exits_2025_2040,Capped minus uncapped,-136342.0,catchall_60_65,primary,2016
nationality,ROW,principal_backlog_2040,Capped,1355043.0,catchall_60_65,primary,2016
nationality,ROW,principal_backlog_2040,Uncapped,1752943.0,catchall_60_65,primary,2016
nationality,ROW,principal_backlog_2040,Capped minus uncapped,-397900.0,catchall_60_65,primary,2016
category,EB-1,age21_events_2025_2040,Capped,2525.0,catchall_60_65,primary,2016
category,EB-1,age21_events_2025_2040,Uncapped,720.0,catchall_60_65,primary,2016
category,EB-1,age21_events_2025_2040,Capped minus uncapped,1805.0,catchall_60_65,primary,2016
category,EB-1,principal_exits_2025_2040,Capped,15899.0,catchall_60_65,primary,2016
category,EB-1,principal_exits_2025_2040,Uncapped,16516.0,catchall_60_65,primary,2016
category,EB-1,principal_exits_2025_2040,Capped minus uncapped,-617.0,catchall_60_65,primary,2016
category,EB-1,principal_backlog_2040,Capped,129390.0,catchall_60_65,primary,2016
category,EB-1,principal_backlog_2040,Uncapped,125751.0,catchall_60_65,primary,2016
category,EB-1,principal_backlog_2040,Capped minus uncapped,3639.0,catchall_60_65,primary,2016
category,EB-2,age21_events_2025_2040,Capped,149903.0,catchall_60_65,primary,2016
category,EB-2,age21_events_2025_2040,Uncapped,108644.0,catchall_60_65,primary,2016
category,EB-2,age21_events_2025_2040,Capped minus uncapped,41259.0,catchall_60_65,primary,2016
category,EB-2,principal_exits_2025_2040,Capped,310057.0,catchall_60_65,primary,2016
category,EB-2,principal_exits_2025_2040,Uncapped,282992.0,catchall_60_65,primary,2016
category,EB-2,principal_exits_2025_2040,Capped minus uncapped,27065.0,catchall_60_65,primary,2016
category,EB-2,principal_backlog_2040,Capped,1041316.0,catchall_60_65,primary,2016
category,EB-2,principal_backlog_2040,Uncapped,1059589.0,catchall_60_65,primary,2016
category,EB-2,principal_backlog_2040,Capped minus uncapped,-18273.0,catchall_60_65,primary,2016
category,EB-3,age21_events_2025_2040,Capped,63099.0,catchall_60_65,primary,2016
category,EB-3,age21_events_2025_2040,Uncapped,39966.0,catchall_60_65,primary,2016
category,EB-3,age21_events_2025_2040,Capped minus uncapped,23133.0,catchall_60_65,primary,2016
category,EB-3,principal_exits_2025_2040,Capped,245195.0,catchall_60_65,primary,2016
category,EB-3,principal_exits_2025_2040,Uncapped,250218.0,catchall_60_65,primary,2016
category,EB-3,principal_exits_2025_2040,Capped minus uncapped,-5023.0,catchall_60_65,primary,2016
category,EB-3,principal_backlog_2040,Capped,552298.0,catchall_60_65,primary,2016
