case,year,category,nationality,modeled_visas,n_runs,visas_issued,residual_model_minus_observed
catchall_55_60,2018,EB-5,China,1070.0,1,4642,-3572.0
catchall_55_60,2018,EB-5,India,693.0,1,585,108.0
catchall_55_60,2018,EB-5,ROW,8140.0,1,4375,3765.0
catchall_55_60,2019,EB-1,China,4738.0,1,5284,-546.0
catchall_55_60,2019,EB-1,India,9670.0,1,9008,662.0
catchall_55_60,2019,EB-1,ROW,25800.0,1,25800,0.0
catchall_55_60,2019,EB-2,China,2814.0,1,3369,-555.0
catchall_55_60,2019,EB-2,India,2814.0,1,2908,-94.0
catchall_55_60,2019,EB-2,ROW,34579.0,1,33775,804.0
catchall_55_60,2019,EB-3,China,2814.0,1,3682,-868.0
catchall_55_60,2019,EB-3,India,2814.0,1,5083,-2269.0
catchall_55_60,2019,EB-3,ROW,34579.0,1,32111,2468.0
catchall_55_60,2019,EB-4,China,219.0,1,89,130.0
catchall_55_60,2019,EB-4,India,699.0,1,659,40.0
catchall_55_60,2019,EB-4,ROW,9064.0,1,9340,-276.0
catchall_55_60,2019,EB-5,China,6930.0,1,4327,2603.0
catchall_55_60,2019,EB-5,India,699.0,1,760,-61.0
catchall_55_60,2019,EB-5,ROW,2353.0,1,4391,-2038.0
catchall_55_60,2020,EB-1,China,4766.0,1,4766,0.0
catchall_55_60,2020,EB-1,India,11239.0,1,17014,-5775.0
catchall_55_60,2020,EB-1,ROW,32933.0,1,25423,7510.0
catchall_55_60,2020,EB-2,China,3118.0,1,3118,0.0
catchall_55_60,2020,EB-2,India,2599.0,1,2599,0.0
catchall_55_60,2020,EB-2,ROW,36369.0,1,37410,-1041.0
catchall_55_60,2020,EB-3,China,2946.0,1,3499,-553.0
catchall_55_60,2020,EB-3,India,2946.0,1,3194,-248.0
catchall_55_60,2020,EB-3,ROW,36193.0,1,36128,65.0
catchall_55_60,2020,EB-4,China,162.0,1,256,-94.0
catchall_55_60,2020,EB-4,India,731.0,1,734,-3.0
catchall_55_60,2020,EB-4,ROW,9555.0,1,9416,139.0
catchall_55_60,2020,EB-5,China,1260.0,1,1564,-304.0
catchall_55_60,2020,EB-5,India,731.0,1,613,118.0
catchall_55_60,2020,EB-5,ROW,1605.0,1,1419,186.0
catchall_55_60,2021,EB-1,China,9118.0,1,9118,0.0
catchall_55_60,2021,EB-1,India,30825.0,1,30825,0.0
catchall_55_60,2021,EB-1,ROW,18777.0,1,21553,-2776.0
catchall_55_60,2021,EB-2,China,6091.0,1,6091,0.0
catchall_55_60,2021,EB-2,India,28246.0,1,28246,0.0
catchall_55_60,2021,EB-2,ROW,25404.0,1,25404,0.0
catchall_55_60,2021,EB-3,China,3914.0,1,5113,-1199.0
catchall_55_60,2021,EB-3,India,21129.0,1,14954,6175.0
