scenario,year,outcome,dimension,group,threshold_age,denominator,count_at_or_above,share_pct,maximum_age,case,role,seed
Capped,2024,converted,nationality,India,75,8834,0,0.0,65,catchall_60_65,primary,2014
Capped,2024,converted,nationality,India,80,8834,0,0.0,65,catchall_60_65,primary,2014
Capped,2024,converted,nationality,China,60,9649,118,1.222924655404705,63,catchall_60_65,primary,2014
Capped,2024,converted,nationality,China,65,9649,0,0.0,63,catchall_60_65,primary,2014
Capped,2024,converted,nationality,China,70,9649,0,0.0,63,catchall_60_65,primary,2014
Capped,2024,converted,nationality,China,75,9649,0,0.0,63,catchall_60_65,primary,2014
Capped,2024,converted,nationality,China,80,9649,0,0.0,63,catchall_60_65,primary,2014
Capped,2024,converted,nationality,ROW,60,58415,133,0.22768124625524266,63,catchall_60_65,primary,2014
Capped,2024,converted,nationality,ROW,65,58415,0,0.0,63,catchall_60_65,primary,2014
Capped,2024,converted,nationality,ROW,70,58415,0,0.0,63,catchall_60_65,primary,2014
Capped,2024,converted,nationality,ROW,75,58415,0,0.0,63,catchall_60_65,primary,2014
Capped,2024,converted,nationality,ROW,80,58415,0,0.0,63,catchall_60_65,primary,2014
Capped,2040,converted,overall,All EB,60,81216,1598,1.9675925925925926,71,catchall_60_65,primary,2014
Capped,2040,converted,overall,All EB,65,81216,65,0.08003349093774625,71,catchall_60_65,primary,2014
Capped,2040,converted,overall,All EB,70,81216,1,0.001231284475965327,71,catchall_60_65,primary,2014
Capped,2040,converted,overall,All EB,75,81216,0,0.0,71,catchall_60_65,primary,2014
Capped,2040,converted,overall,All EB,80,81216,0,0.0,71,catchall_60_65,primary,2014
Capped,2040,converted,category,EB-1,60,20489,66,0.3221240665723071,64,catchall_60_65,primary,2014
Capped,2040,converted,category,EB-1,65,20489,0,0.0,64,catchall_60_65,primary,2014
Capped,2040,converted,category,EB-1,70,20489,0,0.0,64,catchall_60_65,primary,2014
Capped,2040,converted,category,EB-1,75,20489,0,0.0,64,catchall_60_65,primary,2014
Capped,2040,converted,category,EB-1,80,20489,0,0.0,64,catchall_60_65,primary,2014
Capped,2040,converted,category,EB-2,60,22369,422,1.8865394072153427,71,catchall_60_65,primary,2014
Capped,2040,converted,category,EB-2,65,22369,19,0.08493897804997988,71,catchall_60_65,primary,2014
Capped,2040,converted,category,EB-2,70,22369,1,0.00447047252894631,71,catchall_60_65,primary,2014
Capped,2040,converted,category,EB-2,75,22369,0,0.0,71,catchall_60_65,primary,2014
Capped,2040,converted,category,EB-2,80,22369,0,0.0,71,catchall_60_65,primary,2014
Capped,2040,converted,category,EB-3,60,23453,879,3.747921374664222,68,catchall_60_65,primary,2014
Capped,2040,converted,category,EB-3,65,23453,27,0.11512386475077815,68,catchall_60_65,primary,2014
Capped,2040,converted,category,EB-3,70,23453,0,0.0,68,catchall_60_65,primary,2014
Capped,2040,converted,category,EB-3,75,23453,0,0.0,68,catchall_60_65,primary,2014
Capped,2040,converted,category,EB-3,80,23453,0,0.0,68,catchall_60_65,primary,2014
Capped,2040,converted,category,EB-4,60,10187,172,1.6884264258368509,68,catchall_60_65,primary,2014
Capped,2040,converted,category,EB-4,65,10187,19,0.1865122214587219,68,catchall_60_65,primary,2014
Capped,2040,converted,category,EB-4,70,10187,0,0.0,68,catchall_60_65,primary,2014
