scenario,entry_year,nationality,eb_category,observation_end_year,quantity,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,positive_runs,zero_runs,negative_runs
Uncapped,2017,China,EB-2,2061,total_created,2,1298.0,48.08326112068523,33.99999999999999,,,2,0,0
Uncapped,2017,China,EB-3,2061,total_created,2,1480.5,54.44722215136416,38.5,,,2,0,0
Uncapped,2017,China,EB-4,2061,total_created,2,37.5,16.263455967290593,11.5,,,2,0,0
Uncapped,2017,China,EB-5,2061,total_created,2,4226.5,163.3416664540925,115.5,,,2,0,0
Uncapped,2017,ROW,EB-1,2061,total_created,2,8747.5,6.363961030678928,4.5,,,2,0,0
Uncapped,2017,ROW,EB-2,2061,total_created,2,10251.5,21.920310216782973,15.499999999999998,,,2,0,0
Uncapped,2017,ROW,EB-3,2061,total_created,2,8771.5,98.2878425849301,69.5,,,2,0,0
Uncapped,2017,ROW,EB-4,2061,total_created,2,8087.5,40.30508652763321,28.499999999999996,,,2,0,0
Uncapped,2017,ROW,EB-5,2061,total_created,2,2112.0,43.840620433565945,30.999999999999996,,,2,0,0
Uncapped,2018,India,EB-1,2061,total_created,2,3995.0,35.35533905932738,25.0,,,2,0,0
Uncapped,2018,India,EB-2,2061,total_created,2,18348.0,155.56349186104046,110.0,,,2,0,0
Uncapped,2018,India,EB-3,2061,total_created,2,3737.0,42.42640687119285,30.0,,,2,0,0
Uncapped,2018,India,EB-4,2061,total_created,2,383.0,7.0710678118654755,5.0,,,2,0,0
Uncapped,2018,India,EB-5,2061,total_created,2,829.5,65.76093065034893,46.5,,,2,0,0
Uncapped,2018,China,EB-1,2061,total_created,2,1319.0,33.94112549695428,23.999999999999996,,,2,0,0
Uncapped,2018,China,EB-2,2061,total_created,2,1596.0,29.698484809834994,20.999999999999996,,,2,0,0
Uncapped,2018,China,EB-3,2061,total_created,2,1374.5,50.204581464244875,35.5,,,2,0,0
Uncapped,2018,China,EB-4,2061,total_created,2,38.0,5.656854249492381,4.0,,,2,0,0
Uncapped,2018,China,EB-5,2061,total_created,2,4894.0,46.66904755831214,33.0,,,2,0,0
Uncapped,2018,ROW,EB-1,2061,total_created,2,7281.0,38.18376618407357,27.0,,,2,0,0
Uncapped,2018,ROW,EB-2,2061,total_created,2,10528.0,57.982756057296896,41.0,,,2,0,0
Uncapped,2018,ROW,EB-3,2061,total_created,2,10252.0,104.65180361560904,74.0,,,2,0,0
Uncapped,2018,ROW,EB-4,2061,total_created,2,6292.0,69.29646455628166,49.0,,,2,0,0
Uncapped,2018,ROW,EB-5,2061,total_created,2,2629.0,24.041630560342615,16.999999999999996,,,2,0,0
Uncapped,2019,India,EB-1,2061,total_created,2,3692.0,60.81118318204309,43.0,,,2,0,0
Uncapped,2019,India,EB-2,2061,total_created,2,20302.0,38.18376618407357,27.0,,,2,0,0
Uncapped,2019,India,EB-3,2061,total_created,2,5166.0,121.62236636408618,86.0,,,2,0,0
Uncapped,2019,India,EB-4,2061,total_created,2,510.0,7.0710678118654755,5.0,,,2,0,0
Uncapped,2019,India,EB-5,2061,total_created,2,297.0,28.284271247461902,20.0,,,2,0,0
Uncapped,2019,China,EB-1,2061,total_created,2,1108.0,45.254833995939045,32.0,,,2,0,0
Uncapped,2019,China,EB-2,2061,total_created,2,2161.0,120.20815280171308,85.0,,,2,0,0
