case,role,dimension,group,quantity,policy,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,positive_runs,zero_runs,negative_runs
catchall_60_65,primary,joint,EB-5 / India,age21_events_2025_2040,Capped minus uncapped,50,176.88,11.961912344553253,1.6916698669585357,173.48046212596242,180.27953787403757,50,0,0
catchall_60_65,primary,joint,EB-5 / China,age21_events_2025_2040,Capped minus uncapped,50,618.1,38.731019051074476,5.477393242656024,607.0927661755394,629.1072338244606,50,0,0
catchall_60_65,primary,joint,EB-5 / ROW,age21_events_2025_2040,Capped minus uncapped,50,-249.52,17.500134110273297,2.4748927002096512,-254.49348308489326,-244.54651691510676,0,0,50
catchall_55_60,sensitivity,overall,All,age21_events_2025_2040,Capped,1,213441.0,,,,,1,0,0
catchall_55_60,sensitivity,overall,All,age21_events_2025_2040,Uncapped,1,163257.0,,,,,1,0,0
catchall_55_60,sensitivity,overall,All,age21_events_2025_2040,Capped minus uncapped,1,50184.0,,,,,1,0,0
catchall_55_60,sensitivity,overall,All,principal_exits_2025_2040,Capped,1,1300623.0,,,,,1,0,0
catchall_55_60,sensitivity,overall,All,principal_exits_2025_2040,Uncapped,1,1240691.0,,,,,1,0,0
catchall_55_60,sensitivity,overall,All,principal_exits_2025_2040,Capped minus uncapped,1,59932.0,,,,,1,0,0
catchall_55_60,sensitivity,overall,All,principal_conversions_2025_2040,Capped,1,1269312.0,,,,,1,0,0
catchall_55_60,sensitivity,overall,All,principal_conversions_2025_2040,Uncapped,1,1272090.0,,,,,1,0,0
catchall_55_60,sensitivity,overall,All,principal_conversions_2025_2040,Capped minus uncapped,1,-2778.0,,,,,0,0,1
catchall_55_60,sensitivity,overall,All,principal_backlog_2040,Capped,1,2515665.0,,,,,1,0,0
catchall_55_60,sensitivity,overall,All,principal_backlog_2040,Uncapped,1,2572819.0,,,,,1,0,0
catchall_55_60,sensitivity,overall,All,principal_backlog_2040,Capped minus uncapped,1,-57154.0,,,,,0,0,1
catchall_55_60,sensitivity,nationality,India,age21_events_2025_2040,Capped,1,155073.0,,,,,1,0,0
catchall_55_60,sensitivity,nationality,India,age21_events_2025_2040,Uncapped,1,59910.0,,,,,1,0,0
catchall_55_60,sensitivity,nationality,India,age21_events_2025_2040,Capped minus uncapped,1,95163.0,,,,,1,0,0
catchall_55_60,sensitivity,nationality,India,principal_exits_2025_2040,Capped,1,473198.0,,,,,1,0,0
catchall_55_60,sensitivity,nationality,India,principal_exits_2025_2040,Uncapped,1,247127.0,,,,,1,0,0
catchall_55_60,sensitivity,nationality,India,principal_exits_2025_2040,Capped minus uncapped,1,226071.0,,,,,1,0,0
catchall_55_60,sensitivity,nationality,India,principal_backlog_2040,Capped,1,917335.0,,,,,1,0,0
catchall_55_60,sensitivity,nationality,India,principal_backlog_2040,Uncapped,1,683420.0,,,,,1,0,0
catchall_55_60,sensitivity,nationality,India,principal_backlog_2040,Capped minus uncapped,1,233915.0,,,,,1,0,0
catchall_55_60,sensitivity,nationality,China,age21_events_2025_2040,Capped,1,16042.0,,,,,1,0,0
catchall_55_60,sensitivity,nationality,China,age21_events_2025_2040,Uncapped,1,12673.0,,,,,1,0,0
catchall_55_60,sensitivity,nationality,China,age21_events_2025_2040,Capped minus uncapped,1,3369.0,,,,,1,0,0
catchall_55_60,sensitivity,nationality,China,principal_exits_2025_2040,Capped,1,128967.0,,,,,1,0,0
catchall_55_60,sensitivity,nationality,China,principal_exits_2025_2040,Uncapped,1,114325.0,,,,,1,0,0
catchall_55_60,sensitivity,nationality,China,principal_exits_2025_2040,Capped minus uncapped,1,14642.0,,,,,1,0,0
catchall_55_60,sensitivity,nationality,China,principal_backlog_2040,Capped,1,311425.0,,,,,1,0,0
catchall_55_60,sensitivity,nationality,China,principal_backlog_2040,Uncapped,1,259657.0,,,,,1,0,0
catchall_55_60,sensitivity,nationality,China,principal_backlog_2040,Capped minus uncapped,1,51768.0,,,,,1,0,0
catchall_55_60,sensitivity,nationality,ROW,age21_events_2025_2040,Capped,1,42326.0,,,,,1,0,0
catchall_55_60,sensitivity,nationality,ROW,age21_events_2025_2040,Uncapped,1,90674.0,,,,,1,0,0
catchall_55_60,sensitivity,nationality,ROW,age21_events_2025_2040,Capped minus uncapped,1,-48348.0,,,,,0,0,1
catchall_55_60,sensitivity,nationality,ROW,principal_exits_2025_2040,Capped,1,698458.0,,,,,1,0,0
catchall_55_60,sensitivity,nationality,ROW,principal_exits_2025_2040,Uncapped,1,879239.0,,,,,1,0,0
catchall_55_60,sensitivity,nationality,ROW,principal_exits_2025_2040,Capped minus uncapped,1,-180781.0,,,,,0,0,1
catchall_55_60,sensitivity,nationality,ROW,principal_backlog_2040,Capped,1,1286905.0,,,,,1,0,0
catchall_55_60,sensitivity,nationality,ROW,principal_backlog_2040,Uncapped,1,1629742.0,,,,,1,0,0
catchall_55_60,sensitivity,nationality,ROW,principal_backlog_2040,Capped minus uncapped,1,-342837.0,,,,,0,0,1
catchall_55_60,sensitivity,category,EB-1,age21_events_2025_2040,Capped,1,2102.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-1,age21_events_2025_2040,Uncapped,1,544.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-1,age21_events_2025_2040,Capped minus uncapped,1,1558.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-1,principal_exits_2025_2040,Capped,1,23315.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-1,principal_exits_2025_2040,Uncapped,1,26396.0,,,,,1,0,0
