annual_principal_exits,annual_visas,category,nationality,principal_backlog,scenario,year,case,role,seed
0,411,EB-4,China,0,Uncapped,2015,catchall_60_65,primary,2014
2750,9095,EB-4,ROW,52679,Uncapped,2015,catchall_60_65,primary,2014
1,715,EB-5,India,61,Uncapped,2015,catchall_60_65,primary,2014
44,4801,EB-5,China,5330,Uncapped,2015,catchall_60_65,primary,2014
0,4705,EB-5,ROW,0,Uncapped,2015,catchall_60_65,primary,2014
63,8835,EB-1,India,6450,Uncapped,2016,catchall_60_65,primary,2014
51,5278,EB-1,China,3856,Uncapped,2016,catchall_60_65,primary,2014
35,26027,EB-1,ROW,1863,Uncapped,2016,catchall_60_65,primary,2014
2853,2810,EB-2,India,159618,Uncapped,2016,catchall_60_65,primary,2014
541,2810,EB-2,China,21215,Uncapped,2016,catchall_60_65,primary,2014
225,34520,EB-2,ROW,9747,Uncapped,2016,catchall_60_65,primary,2014
2259,2810,EB-3,India,97997,Uncapped,2016,catchall_60_65,primary,2014
860,2810,EB-3,China,23152,Uncapped,2016,catchall_60_65,primary,2014
490,34520,EB-3,ROW,11720,Uncapped,2016,catchall_60_65,primary,2014
103,698,EB-4,India,3294,Uncapped,2016,catchall_60_65,primary,2014
0,247,EB-4,China,0,Uncapped,2016,catchall_60_65,primary,2014
4122,9020,EB-4,ROW,74737,Uncapped,2016,catchall_60_65,primary,2014
0,698,EB-5,India,261,Uncapped,2016,catchall_60_65,primary,2014
60,4874,EB-5,China,8751,Uncapped,2016,catchall_60_65,primary,2014
0,4393,EB-5,ROW,0,Uncapped,2016,catchall_60_65,primary,2014
90,11650,EB-1,India,10054,Uncapped,2017,catchall_60_65,primary,2014
63,5868,EB-1,China,5846,Uncapped,2017,catchall_60_65,primary,2014
74,22409,EB-1,ROW,6049,Uncapped,2017,catchall_60_65,primary,2014
3424,2795,EB-2,India,195766,Uncapped,2017,catchall_60_65,primary,2014
675,2795,EB-2,China,25190,Uncapped,2017,catchall_60_65,primary,2014
311,34337,EB-2,ROW,12767,Uncapped,2017,catchall_60_65,primary,2014
2332,2795,EB-3,India,102844,Uncapped,2017,catchall_60_65,primary,2014
1011,2795,EB-3,China,25253,Uncapped,2017,catchall_60_65,primary,2014
589,34336,EB-3,ROW,13967,Uncapped,2017,catchall_60_65,primary,2014
129,694,EB-4,India,3572,Uncapped,2017,catchall_60_65,primary,2014
0,133,EB-4,China,0,Uncapped,2017,catchall_60_65,primary,2014
4707,9085,EB-4,ROW,87315,Uncapped,2017,catchall_60_65,primary,2014
6,694,EB-5,India,835,Uncapped,2017,catchall_60_65,primary,2014
121,2573,EB-5,China,15535,Uncapped,2017,catchall_60_65,primary,2014
0,6645,EB-5,ROW,0,Uncapped,2017,catchall_60_65,primary,2014
112,11848,EB-1,India,12594,Uncapped,2018,catchall_60_65,primary,2014
96,6072,EB-1,China,7305,Uncapped,2018,catchall_60_65,primary,2014
93,21972,EB-1,ROW,7856,Uncapped,2018,catchall_60_65,primary,2014
3887,2792,EB-2,India,229519,Uncapped,2018,catchall_60_65,primary,2014
799,2792,EB-2,China,30786,Uncapped,2018,catchall_60_65,primary,2014
411,34308,EB-2,ROW,16072,Uncapped,2018,catchall_60_65,primary,2014
2530,2792,EB-3,India,107225,Uncapped,2018,catchall_60_65,primary,2014
1023,2792,EB-3,China,27018,Uncapped,2018,catchall_60_65,primary,2014
730,34308,EB-3,ROW,19457,Uncapped,2018,catchall_60_65,primary,2014
138,693,EB-4,India,3711,Uncapped,2018,catchall_60_65,primary,2014
0,119,EB-4,China,0,Uncapped,2018,catchall_60_65,primary,2014
4846,9092,EB-4,ROW,90923,Uncapped,2018,catchall_60_65,primary,2014
10,693,EB-5,India,1822,Uncapped,2018,catchall_60_65,primary,2014
185,1070,EB-5,China,24147,Uncapped,2018,catchall_60_65,primary,2014
0,8140,EB-5,ROW,0,Uncapped,2018,catchall_60_65,primary,2014
170,9690,EB-1,India,15224,Uncapped,2019,catchall_60_65,primary,2014
105,4718,EB-1,China,8646,Uncapped,2019,catchall_60_65,primary,2014
