case,role,scenario,year,outcome,dimension,group,threshold_age,quantity,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,positive_runs,zero_runs,negative_runs
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,category,EB-4,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,category,EB-4,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,category,EB-4,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,category,EB-5,60,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,category,EB-5,65,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,category,EB-5,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,category,EB-5,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,category,EB-5,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,nationality,India,60,share_pct,1,0.05560270404729156,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,nationality,India,65,share_pct,1,0.0004389687161628281,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,nationality,India,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,nationality,India,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,nationality,India,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,nationality,China,60,share_pct,1,0.0828015420342991,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,nationality,China,65,share_pct,1,0.0011553703539669642,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,nationality,China,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,nationality,China,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,nationality,China,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,nationality,ROW,60,share_pct,1,0.10461778612811108,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,nationality,ROW,65,share_pct,1,0.0028225326462716182,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,nationality,ROW,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,nationality,ROW,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,2040,still_waiting,nationality,ROW,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,overall,All EB,60,share_pct,1,0.0543787870941012,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2024,converted,overall,All EB,65,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,overall,All EB,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,overall,All EB,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,overall,All EB,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,category,EB-1,60,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,category,EB-1,65,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,category,EB-1,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,category,EB-1,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,category,EB-1,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,category,EB-2,60,share_pct,1,0.018346099160665964,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2024,converted,category,EB-2,65,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,category,EB-2,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,category,EB-2,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,category,EB-2,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,category,EB-3,60,share_pct,1,0.05678839769351739,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2024,converted,category,EB-3,65,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,category,EB-3,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,category,EB-3,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,category,EB-3,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,category,EB-4,60,share_pct,1,0.32724297791109896,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2024,converted,category,EB-4,65,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,category,EB-4,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,category,EB-4,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,category,EB-4,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,category,EB-5,60,share_pct,1,0.020868113522537562,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2024,converted,category,EB-5,65,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,category,EB-5,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,category,EB-5,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,category,EB-5,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,nationality,India,60,share_pct,1,0.056902241948332766,,,,,1,0,0
