case,role,scenario,entry_cohort_window,dimension,group,quantity,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,positive_runs,zero_runs,negative_runs
catchall_60_65,primary,Capped,entries_2009_2024,joint,EB-1 / China,still_dependent,50,0.0,0.0,0.0,0.0,0.0,0,50,0
catchall_60_65,primary,Capped,entries_2009_2024,joint,EB-1 / ROW,still_dependent,50,0.0,0.0,0.0,0.0,0.0,0,50,0
catchall_60_65,primary,Capped,entries_2009_2024,joint,EB-2 / India,still_dependent,50,22443.1,125.1011427540426,17.69197327511397,22407.546648610376,22478.65335138962,50,0,0
catchall_60_65,primary,Capped,entries_2009_2024,joint,EB-2 / China,still_dependent,50,1812.94,41.5296353492888,5.873177355137333,1801.1374082238478,1824.7425917761523,50,0,0
catchall_60_65,primary,Capped,entries_2009_2024,joint,EB-2 / ROW,still_dependent,50,0.0,0.0,0.0,0.0,0.0,0,50,0
catchall_60_65,primary,Capped,entries_2009_2024,joint,EB-3 / India,still_dependent,50,10364.34,115.29192937752337,16.30474101578546,10331.574396206872,10397.105603793128,50,0,0
catchall_60_65,primary,Capped,entries_2009_2024,joint,EB-3 / China,still_dependent,50,107.84,24.422605787863585,3.453878033368833,100.89917223207736,114.78082776792264,50,0,0
catchall_60_65,primary,Capped,entries_2009_2024,joint,EB-3 / ROW,still_dependent,50,0.0,0.0,0.0,0.0,0.0,0,50,0
catchall_60_65,primary,Capped,entries_2009_2024,joint,EB-4 / India,still_dependent,50,0.0,0.0,0.0,0.0,0.0,0,50,0
catchall_60_65,primary,Capped,entries_2009_2024,joint,EB-4 / China,still_dependent,50,0.0,0.0,0.0,0.0,0.0,0,50,0
catchall_60_65,primary,Capped,entries_2009_2024,joint,EB-4 / ROW,still_dependent,50,1756.14,47.44793494570912,6.710151310681816,1742.6554460886637,1769.6245539113365,50,0,0
catchall_60_65,primary,Capped,entries_2009_2024,joint,EB-5 / India,still_dependent,50,0.0,0.0,0.0,0.0,0.0,0,50,0
catchall_60_65,primary,Capped,entries_2009_2024,joint,EB-5 / China,still_dependent,50,0.0,0.0,0.0,0.0,0.0,0,50,0
catchall_60_65,primary,Capped,entries_2009_2024,joint,EB-5 / ROW,still_dependent,50,0.0,0.0,0.0,0.0,0.0,0,50,0
catchall_60_65,primary,Capped,entries_2025_2040,overall,All,still_dependent,50,678071.18,790.088336316689,111.73536406918568,677846.639379255,678295.7206207451,50,0,0
catchall_60_65,primary,Capped,entries_2025_2040,nationality,India,still_dependent,50,342504.76,502.17797316757515,71.0186900378617,342362.0425991266,342647.47740087344,50,0,0
catchall_60_65,primary,Capped,entries_2025_2040,nationality,China,still_dependent,50,79050.64,353.9220921995952,50.05214228121285,78950.05645430641,79151.22354569359,50,0,0
catchall_60_65,primary,Capped,entries_2025_2040,nationality,ROW,still_dependent,50,256515.78,604.9221332923262,85.54890850816729,256343.86303189854,256687.69696810146,50,0,0
catchall_60_65,primary,Capped,entries_2025_2040,category,EB-1,still_dependent,50,55336.76,260.9135097917253,36.89874241538232,55262.60920096084,55410.910799039164,50,0,0
catchall_60_65,primary,Capped,entries_2025_2040,category,EB-2,still_dependent,50,313876.32,529.4520247676953,74.87582340523706,313725.8513994252,314026.78860057483,50,0,0
catchall_60_65,primary,Capped,entries_2025_2040,category,EB-3,still_dependent,50,193221.8,524.2354588603584,74.13808957972016,193072.81393105251,193370.78606894746,50,0,0
catchall_60_65,primary,Capped,entries_2025_2040,category,EB-4,still_dependent,50,100394.22,372.22586351486615,52.64068644487603,100288.43458005489,100500.00541994511,50,0,0
catchall_60_65,primary,Capped,entries_2025_2040,category,EB-5,still_dependent,50,15242.08,147.83455175931488,20.90696280853704,15200.065885256381,15284.094114743619,50,0,0
catchall_60_65,primary,Capped,entries_2025_2040,joint,EB-1 / India,still_dependent,50,39764.1,240.3748985163274,33.99414415358466,39695.78620970155,39832.413790298444,50,0,0
catchall_60_65,primary,Capped,entries_2025_2040,joint,EB-1 / China,still_dependent,50,15572.66,153.75339518401617,21.744013673014578,15528.96376856691,15616.35623143309,50,0,0
catchall_60_65,primary,Capped,entries_2025_2040,joint,EB-1 / ROW,still_dependent,50,0.0,0.0,0.0,0.0,0.0,0,50,0
catchall_60_65,primary,Capped,entries_2025_2040,joint,EB-2 / India,still_dependent,50,232141.4,367.3261354653632,51.94776025892134,232037.00706735934,232245.79293264064,50,0,0
catchall_60_65,primary,Capped,entries_2025_2040,joint,EB-2 / China,still_dependent,50,29138.34,192.95633533765815,27.288146638032703,29083.50241624906,29193.17758375094,50,0,0
