seed,metric,period,dimension,group,scenario,value
2016,ageouts,historical,category,EB-1,Capped minus uncapped,0.0
2016,ageouts,projection,category,EB-1,Uncapped,720.0
2016,ageouts,projection,category,EB-1,Capped,2525.0
2016,ageouts,projection,category,EB-1,Capped minus uncapped,1805.0
2016,ageouts,full,category,EB-1,Uncapped,722.0
2016,ageouts,full,category,EB-1,Capped,2527.0
2016,ageouts,full,category,EB-1,Capped minus uncapped,1805.0
2016,ageouts,historical,category,EB-2,Uncapped,6317.0
2016,ageouts,historical,category,EB-2,Capped,6317.0
2016,ageouts,historical,category,EB-2,Capped minus uncapped,0.0
2016,ageouts,projection,category,EB-2,Uncapped,108644.0
2016,ageouts,projection,category,EB-2,Capped,149903.0
2016,ageouts,projection,category,EB-2,Capped minus uncapped,41259.0
2016,ageouts,full,category,EB-2,Uncapped,114961.0
2016,ageouts,full,category,EB-2,Capped,156220.0
2016,ageouts,full,category,EB-2,Capped minus uncapped,41259.0
2016,ageouts,historical,category,EB-3,Uncapped,9726.0
2016,ageouts,historical,category,EB-3,Capped,9726.0
2016,ageouts,historical,category,EB-3,Capped minus uncapped,0.0
2016,ageouts,projection,category,EB-3,Uncapped,39966.0
2016,ageouts,projection,category,EB-3,Capped,63099.0
2016,ageouts,projection,category,EB-3,Capped minus uncapped,23133.0
2016,ageouts,full,category,EB-3,Uncapped,49692.0
2016,ageouts,full,category,EB-3,Capped,72825.0
2016,ageouts,full,category,EB-3,Capped minus uncapped,23133.0
2016,ageouts,historical,category,EB-4,Uncapped,7187.0
2016,ageouts,historical,category,EB-4,Capped,7187.0
2016,ageouts,historical,category,EB-4,Capped minus uncapped,0.0
2016,ageouts,projection,category,EB-4,Uncapped,49458.0
2016,ageouts,projection,category,EB-4,Capped,49466.0
2016,ageouts,projection,category,EB-4,Capped minus uncapped,8.0
2016,ageouts,full,category,EB-4,Uncapped,56645.0
2016,ageouts,full,category,EB-4,Capped,56653.0
2016,ageouts,full,category,EB-4,Capped minus uncapped,8.0
2016,ageouts,historical,category,EB-5,Uncapped,220.0
2016,ageouts,historical,category,EB-5,Capped,220.0
2016,ageouts,historical,category,EB-5,Capped minus uncapped,0.0
2016,ageouts,projection,category,EB-5,Uncapped,566.0
2016,ageouts,projection,category,EB-5,Capped,1074.0
