aged_out,ageout_pct,eb_category,entry_year,exit_pct,exited,nationality,save_pct,saved,scenario,still_dependent,total_created,seed,observation_end_year
638,28.674157303370784,EB-2,2020,28.13483146067416,626,China,43.19101123595506,961,Uncapped,0,2225,2014,2061
169,11.147757255936677,EB-3,2020,29.419525065963057,446,China,59.43271767810027,901,Uncapped,0,1516,2014,2061
0,0.0,EB-4,2020,0.0,0,China,100.0,23,Uncapped,0,23,2014,2061
28,3.255813953488372,EB-5,2020,8.13953488372093,70,China,88.60465116279069,762,Uncapped,0,860,2014,2061
0,0.0,EB-1,2020,1.3814756671899528,44,India,98.61852433281004,3141,Uncapped,0,3185,2014,2061
3801,22.89621107162219,EB-2,2020,20.872236612252273,3465,India,56.23155231612553,9335,Uncapped,0,16601,2014,2061
116,2.8059990324141264,EB-3,2020,18.867924528301888,780,India,78.32607643928398,3238,Uncapped,0,4134,2014,2061
169,30.895795246800734,EB-4,2020,38.391224862888485,210,India,30.712979890310788,168,Uncapped,0,547,2014,2061
7,3.482587064676617,EB-5,2020,4.975124378109453,10,India,91.54228855721394,184,Uncapped,0,201,2014,2061
0,0.0,EB-1,2020,0.0,0,ROW,100.0,5315,Uncapped,0,5315,2014,2061
8,0.08115236356258876,EB-2,2020,4.047474132684115,399,ROW,95.8713735037533,9451,Uncapped,0,9858,2014,2061
0,0.0,EB-3,2020,6.605819627688415,731,ROW,93.39418037231158,10335,Uncapped,0,11066,2014,2061
2234,26.42223536369012,EB-4,2020,46.85984624482555,3962,ROW,26.71791839148433,2259,Uncapped,0,8455,2014,2061
0,0.0,EB-5,2020,0.0,0,ROW,100.0,491,Uncapped,0,491,2014,2061
0,0.0,EB-1,2021,2.6600985221674875,27,China,97.33990147783251,988,Uncapped,0,1015,2014,2061
672,33.78582202111614,EB-2,2021,28.607340372046252,569,China,37.60683760683761,748,Uncapped,0,1989,2014,2061
332,10.036275695284159,EB-3,2021,30.743651753325274,1017,China,59.220072551390565,1959,Uncapped,0,3308,2014,2061
0,0.0,EB-4,2021,0.0,0,China,100.0,9,Uncapped,0,9,2014,2061
0,0.0,EB-5,2021,5.1058530510585305,41,China,94.89414694894147,762,Uncapped,0,803,2014,2061
0,0.0,EB-1,2021,1.2810457516339868,49,India,98.718954248366,3776,Uncapped,0,3825,2014,2061
4697,26.53822249844624,EB-2,2021,21.44188937228092,3795,India,52.01988812927284,9207,Uncapped,0,17699,2014,2061
746,3.3188006050360355,EB-3,2021,20.006228312127412,4497,India,76.67497108283655,17235,Uncapped,0,22478,2014,2061
139,31.16591928251121,EB-4,2021,46.860986547085204,209,India,21.973094170403588,98,Uncapped,0,446,2014,2061
7,3.1818181818181817,EB-5,2021,3.6363636363636362,8,India,93.18181818181817,205,Uncapped,0,220,2014,2061
0,0.0,EB-1,2021,0.0,0,ROW,100.0,5151,Uncapped,0,5151,2014,2061
7,0.06686407488776389,EB-2,2021,3.2667876588021776,342,ROW,96.66634826631005,10120,Uncapped,0,10469,2014,2061
0,0.0,EB-3,2021,5.442235917021092,627,ROW,94.5577640829789,10894,Uncapped,0,11521,2014,2061
2979,29.984901862103676,EB-4,2021,49.96477101157524,4964,ROW,20.050327126321086,1992,Uncapped,0,9935,2014,2061
0,0.0,EB-5,2021,0.5181347150259068,3,ROW,99.48186528497409,576,Uncapped,0,579,2014,2061
0,0.0,EB-1,2022,2.496217851739788,33,China,97.50378214826021,1289,Uncapped,0,1322,2014,2061
775,35.583103764921944,EB-2,2022,28.78787878787879,627,China,35.62901744719926,776,Uncapped,0,2178,2014,2061
144,11.474103585657371,EB-3,2022,27.88844621513944,350,China,60.637450199203194,761,Uncapped,0,1255,2014,2061
0,0.0,EB-4,2022,0.0,0,China,100.0,43,Uncapped,0,43,2014,2061
0,0.0,EB-5,2022,12.432432432432433,23,China,87.56756756756758,162,Uncapped,0,185,2014,2061
0,0.0,EB-1,2022,1.6540317022742934,72,India,98.3459682977257,4281,Uncapped,0,4353,2014,2061
6381,29.85402825863198,EB-2,2022,22.513333957144194,4812,India,47.632637784223824,10181,Uncapped,0,21374,2014,2061
302,3.900297042489991,EB-3,2022,20.650910499806276,1599,India,75.44879245770373,5842,Uncapped,0,7743,2014,2061
389,36.08534322820037,EB-4,2022,45.26901669758813,488,India,18.645640074211503,201,Uncapped,0,1078,2014,2061
3,5.084745762711865,EB-5,2022,1.694915254237288,1,India,93.22033898305084,55,Uncapped,0,59,2014,2061
0,0.0,EB-1,2022,0.0,0,ROW,100.0,6265,Uncapped,0,6265,2014,2061
5,0.038880248833592534,EB-2,2022,3.561430793157076,458,ROW,96.39968895800934,12397,Uncapped,0,12860,2014,2061
0,0.0,EB-3,2022,6.194207836456559,909,ROW,93.80579216354344,13766,Uncapped,0,14675,2014,2061
5083,32.02696742486296,EB-4,2022,51.931195261798244,8242,ROW,16.041837313338796,2546,Uncapped,0,15871,2014,2061
0,0.0,EB-5,2022,0.0,0,ROW,100.0,147,Uncapped,0,147,2014,2061
0,0.0,EB-1,2023,2.0009760858955588,41,China,97.99902391410444,2008,Uncapped,0,2049,2014,2061
1063,39.399555226093405,EB-2,2023,30.059303187546334,811,China,30.541141586360265,824,Uncapped,0,2698,2014,2061
