scenario,entry_year,nationality,eb_category,seed,fate,value,observation_end_year
Uncapped,2014,ROW,EB-1,2014,still_dependent,0.0,2061
Uncapped,2014,ROW,EB-2,2014,saved,99.92351398601399,2061
Uncapped,2014,ROW,EB-2,2014,aged_out,0.0,2061
Uncapped,2014,ROW,EB-2,2014,exited,0.07648601398601398,2061
Uncapped,2014,ROW,EB-2,2014,still_dependent,0.0,2061
Uncapped,2014,ROW,EB-3,2014,saved,96.40630729739641,2061
Uncapped,2014,ROW,EB-3,2014,aged_out,0.0,2061
Uncapped,2014,ROW,EB-3,2014,exited,3.593692702603594,2061
Uncapped,2014,ROW,EB-3,2014,still_dependent,0.0,2061
Uncapped,2014,ROW,EB-4,2014,saved,65.19224590339509,2061
Uncapped,2014,ROW,EB-4,2014,aged_out,6.661668630181,2061
Uncapped,2014,ROW,EB-4,2014,exited,28.146085466423905,2061
Uncapped,2014,ROW,EB-4,2014,still_dependent,0.0,2061
Uncapped,2014,ROW,EB-5,2014,saved,100.0,2061
Uncapped,2014,ROW,EB-5,2014,aged_out,0.0,2061
Uncapped,2014,ROW,EB-5,2014,exited,0.0,2061
Uncapped,2014,ROW,EB-5,2014,still_dependent,0.0,2061
Uncapped,2015,China,EB-1,2014,saved,99.69183359013867,2061
Uncapped,2015,China,EB-1,2014,aged_out,0.0,2061
Uncapped,2015,China,EB-1,2014,exited,0.3081664098613251,2061
Uncapped,2015,China,EB-1,2014,still_dependent,0.0,2061
Uncapped,2015,China,EB-2,2014,saved,83.03495311167946,2061
Uncapped,2015,China,EB-2,2014,aged_out,2.813299232736573,2061
Uncapped,2015,China,EB-2,2014,exited,14.151747655583973,2061
Uncapped,2015,China,EB-2,2014,still_dependent,0.0,2061
Uncapped,2015,China,EB-3,2014,saved,50.22222222222222,2061
Uncapped,2015,China,EB-3,2014,aged_out,16.0,2061
Uncapped,2015,China,EB-3,2014,exited,33.77777777777778,2061
Uncapped,2015,China,EB-3,2014,still_dependent,0.0,2061
Uncapped,2015,China,EB-4,2014,saved,100.0,2061
Uncapped,2015,China,EB-4,2014,aged_out,0.0,2061
Uncapped,2015,China,EB-4,2014,exited,0.0,2061
Uncapped,2015,China,EB-4,2014,still_dependent,0.0,2061
Uncapped,2015,China,EB-5,2014,saved,98.45316528215412,2061
Uncapped,2015,China,EB-5,2014,aged_out,0.0,2061
Uncapped,2015,China,EB-5,2014,exited,1.5468347178458894,2061
Uncapped,2015,China,EB-5,2014,still_dependent,0.0,2061
Uncapped,2015,India,EB-1,2014,saved,99.52874646559849,2061
Uncapped,2015,India,EB-1,2014,aged_out,0.0,2061
Uncapped,2015,India,EB-1,2014,exited,0.471253534401508,2061
Uncapped,2015,India,EB-1,2014,still_dependent,0.0,2061
Uncapped,2015,India,EB-2,2014,saved,73.6909495249006,2061
Uncapped,2015,India,EB-2,2014,aged_out,10.095019880045825,2061
Uncapped,2015,India,EB-2,2014,exited,16.214030595053575,2061
Uncapped,2015,India,EB-2,2014,still_dependent,0.0,2061
Uncapped,2015,India,EB-3,2014,saved,66.9645926435201,2061
Uncapped,2015,India,EB-3,2014,aged_out,9.315916122378825,2061
Uncapped,2015,India,EB-3,2014,exited,23.719491234101067,2061
Uncapped,2015,India,EB-3,2014,still_dependent,0.0,2061
Uncapped,2015,India,EB-4,2014,saved,70.70240295748614,2061
Uncapped,2015,India,EB-4,2014,aged_out,8.040665434380776,2061
Uncapped,2015,India,EB-4,2014,exited,21.256931608133087,2061
Uncapped,2015,India,EB-4,2014,still_dependent,0.0,2061
Uncapped,2015,India,EB-5,2014,saved,100.0,2061
