seed,metric,period,dimension,group,scenario,value
2016,ageouts,historical,category,EB-2,Capped,26.93586900903974
2016,ageouts,projection,category,EB-2,Capped,56.34032029526397
2016,ageouts,full,category,EB-2,Capped,53.958462138926976
2016,ageouts,historical,category,EB-3,Capped,41.471942691454885
2016,ageouts,projection,category,EB-3,Capped,23.715455129722965
2016,ageouts,full,category,EB-3,Capped,25.15378956130686
2016,ageouts,historical,category,EB-4,Capped,30.645573938256867
2016,ageouts,projection,category,EB-4,Capped,18.591557765525224
2016,ageouts,full,category,EB-4,Capped,19.56797308639502
2016,ageouts,historical,category,EB-5,Capped,0.9380863039399625
2016,ageouts,projection,category,EB-5,Capped,0.4036577253097904
2016,ageouts,full,category,EB-5,Capped,0.4469482141068462
2016,exits,historical,overall,All,Capped,100.0
2016,exits,projection,overall,All,Capped,100.0
2016,exits,full,overall,All,Capped,100.0
2016,exits,historical,nationality,India,Capped,40.09791778742499
2016,exits,projection,nationality,India,Capped,30.666391114541288
2016,exits,full,nationality,India,Capped,32.36257410817074
2016,exits,historical,nationality,China,Capped,13.58088017581831
2016,exits,projection,nationality,China,Capped,9.545777925714317
2016,exits,full,nationality,China,Capped,10.271458088806057
2016,exits,historical,nationality,ROW,Capped,46.3212020367567
2016,exits,projection,nationality,ROW,Capped,59.7878309597444
2016,exits,full,nationality,ROW,Capped,57.3659678030232
2016,exits,historical,category,EB-1,Capped,0.986684348583987
2016,exits,projection,category,EB-1,Capped,1.453872757100192
2016,exits,full,category,EB-1,Capped,1.3698527398929767
2016,exits,historical,category,EB-2,Capped,28.592994791340864
2016,exits,projection,category,EB-2,Capped,28.352942037122723
2016,exits,full,category,EB-2,Capped,28.3961135631546
2016,exits,historical,category,EB-3,Capped,35.3846859583057
2016,exits,projection,category,EB-3,Capped,22.421682538347163
2016,exits,full,category,EB-3,Capped,24.75297276419258
2016,exits,historical,category,EB-4,Capped,34.227020805444695
2016,exits,projection,category,EB-4,Capped,47.425843253514664
2016,exits,full,category,EB-4,Capped,45.05214290267783
2016,exits,historical,category,EB-5,Capped,0.8086140963247468
2016,exits,projection,category,EB-5,Capped,0.3456594139152604
2016,exits,full,category,EB-5,Capped,0.4289180300820112
2017,ageouts,historical,overall,All,Uncapped,100.0
2017,ageouts,projection,overall,All,Uncapped,100.0
2017,ageouts,full,overall,All,Uncapped,100.0
2017,ageouts,historical,nationality,India,Uncapped,61.06963014412224
2017,ageouts,projection,nationality,India,Uncapped,36.903520731413906
2017,ageouts,full,nationality,India,Uncapped,39.40505077738833
2017,ageouts,historical,nationality,China,Uncapped,8.886091335301268
2017,ageouts,projection,nationality,China,Uncapped,7.289076910738632
2017,ageouts,full,nationality,China,Uncapped,7.454390221982565
2017,ageouts,historical,nationality,ROW,Uncapped,30.04427852057649
2017,ageouts,projection,nationality,ROW,Uncapped,55.807402357847465
2017,ageouts,full,nationality,ROW,Uncapped,53.1405590006291
2017,ageouts,historical,category,EB-1,Uncapped,0.0
2017,ageouts,projection,category,EB-1,Uncapped,0.36440372122864706
2017,ageouts,full,category,EB-1,Uncapped,0.32668284353374677
2017,ageouts,historical,category,EB-2,Uncapped,26.918735891647856
