year,dimension,group,scenario,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,p025,p975
2022,category,EB-3,Uncapped,50,1110.44,37.32929035445687,5.279158869303607,1099.8311330633762,1121.0488669366239,1036.425,1183.6
2023,category,EB-3,Uncapped,50,1430.06,33.299757920306575,4.7092969274638445,1420.5963135102797,1439.5236864897201,1366.05,1479.1
2024,category,EB-3,Uncapped,50,1590.7,37.4423366181729,5.295146025235888,1580.0590056707026,1601.3409943292975,1529.125,1659.425
2025,category,EB-3,Uncapped,50,1286.52,33.74891683824981,4.7728175908054595,1276.9286639581826,1296.1113360418174,1216.45,1347.75
2026,category,EB-3,Uncapped,50,885.94,31.9658044331943,4.520647416158939,876.8554188966948,895.0245811033053,828.225,948.275
2027,category,EB-3,Uncapped,50,796.9,32.67168155314636,4.6204735157994445,787.6148108388379,806.185189161162,743.225,855.325
2028,category,EB-3,Uncapped,50,1057.36,32.85450921122098,4.646329251162048,1048.0228517933153,1066.6971482066845,991.9,1128.2
2029,category,EB-3,Uncapped,50,1279.3,28.447768105847626,4.023121947453449,1271.2152337584464,1287.3847662415535,1229.575,1335.05
2030,category,EB-3,Uncapped,50,1677.32,43.331395037759485,6.127984653894569,1665.0053537860254,1689.6346462139745,1583.475,1743.3
2031,category,EB-3,Uncapped,50,2094.18,40.79850437434776,5.7697798210740645,2082.5851933478816,2105.774806652118,2024.125,2161.975
2032,category,EB-3,Uncapped,50,2438.12,54.23593206104798,7.670119068867982,2422.70631865337,2453.5336813466297,2324.9,2538.2
2033,category,EB-3,Uncapped,50,2667.82,48.77005186775664,6.897126878902074,2653.95970461682,2681.6802953831802,2557.475,2742.3
2034,category,EB-3,Uncapped,50,2942.74,59.661565927987446,8.437419568777639,2925.7843705693144,2959.695629430685,2791.0,3039.2
2035,category,EB-3,Uncapped,50,3178.12,58.71224883501999,8.303165857990923,3161.4341635020046,3194.805836497995,3070.025,3308.35
2036,category,EB-3,Uncapped,50,3464.44,60.706439829186934,8.58518705298224,3447.1874206922043,3481.6925793077958,3359.575,3567.475
2037,category,EB-3,Uncapped,50,3723.74,69.81807554974132,9.873766934123356,3703.897922472,3743.5820775279994,3591.675,3841.325
2038,category,EB-3,Uncapped,50,3979.9,57.92333074761809,8.1915959921104,3963.438371541688,3996.361628458312,3888.925,4109.8
2039,category,EB-3,Uncapped,50,4248.64,66.77001648974498,9.442706287967253,4229.664171272217,4267.615828727784,4137.675,4365.325
2040,category,EB-3,Uncapped,50,4490.8,64.86500896288462,9.173297539876378,4472.365568421046,4509.234431578954,4347.85,4633.55
2009,category,EB-4,Uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,category,EB-4,Uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,category,EB-4,Uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,category,EB-4,Uncapped,50,1.6,1.212183053462653,0.17142857142857143,1.255501387920702,1.9444986120792982,0.0,4.774999999999999
2013,category,EB-4,Uncapped,50,9.14,2.9067830595182094,0.4110812025647011,8.313901394876668,9.966098605123333,4.0,15.0
2014,category,EB-4,Uncapped,50,37.94,6.434632063756122,0.9099943933444685,36.11129780120851,39.76870219879149,28.0,51.0
2015,category,EB-4,Uncapped,50,91.94,9.689906383153849,1.3703597025181797,89.18615907585968,94.69384092414032,72.675,110.775
2016,category,EB-4,Uncapped,50,203.66,14.642139355229451,2.0707112058322337,199.4987500375135,207.8212499624865,174.225,232.1
2017,category,EB-4,Uncapped,50,341.8,18.03963889407356,2.551190198431201,336.67319135202587,346.92680864797416,310.7,377.97499999999997
2018,category,EB-4,Uncapped,50,507.42,23.85850295524231,3.3741018457222243,500.6394884832846,514.2005115167154,468.0,561.0749999999999
2019,category,EB-4,Uncapped,50,712.86,27.06153984487044,3.8270796667315676,705.1691954712154,720.5508045287846,666.9,757.775
2020,category,EB-4,Uncapped,50,878.54,32.95835962829089,4.661015917989886,869.1733378313422,887.9066621686577,827.0,939.75
2021,category,EB-4,Uncapped,50,946.84,35.98659614413145,5.089273233067402,936.6127225358431,957.067277464157,878.8,1001.0
2022,category,EB-4,Uncapped,50,972.2,28.43826109095897,4.021777452514127,964.1179356221829,980.2820643778172,913.0,1015.875
2023,category,EB-4,Uncapped,50,1100.74,35.0561124542948,4.957682967694007,1090.7771630745847,1110.7028369254153,1037.35,1157.55
2024,category,EB-4,Uncapped,50,1335.88,37.046380197183716,5.2391493311687265,1325.3515352404613,1346.408464759539,1260.95,1400.775
2025,category,EB-4,Uncapped,50,1538.78,46.77269829849941,6.614658428252285,1525.487346220516,1552.072653779484,1466.125,1635.775
2026,category,EB-4,Uncapped,50,1747.84,44.58349653476392,6.305058545747702,1735.1695104778153,1760.5104895221846,1676.0,1822.0
2027,category,EB-4,Uncapped,50,1998.56,48.00261897617075,6.788595478552877,1984.9178066314125,2012.2021933685874,1891.85,2073.175
2028,category,EB-4,Uncapped,50,2134.72,52.75087386837825,7.460100125169301,2119.7283675219546,2149.711632478045,2051.225,2227.1
2029,category,EB-4,Uncapped,50,2397.56,49.15662597810208,6.951796713873357,2383.5898414702438,2411.530158529756,2304.45,2478.65
2030,category,EB-4,Uncapped,50,2631.62,61.66826657236943,8.721209895468423,2614.09407255626,2649.1459274437398,2514.425,2746.025
2031,category,EB-4,Uncapped,50,2783.4,49.78812250785465,7.04110380957012,2769.2503721422318,2797.5496278577684,2686.075,2875.875
2032,category,EB-4,Uncapped,50,3083.12,71.79382043784287,10.153179455777607,3062.71642198754,3103.52357801246,2936.35,3217.025
2033,category,EB-4,Uncapped,50,3324.76,64.70326616996412,9.150423654739953,3306.371535214193,3343.1484647858074,3221.7,3433.925
2034,category,EB-4,Uncapped,50,3691.32,58.111237453416415,8.218170013290484,3674.8049690467737,3707.8350309532266,3570.675,3785.775
2035,category,EB-4,Uncapped,50,3764.98,51.409317824531314,7.270375449980108,3750.369633531088,3779.590366468912,3675.45,3842.325
2036,category,EB-4,Uncapped,50,3832.02,58.994461863909265,8.343076807284282,3815.2539594466143,3848.7860405533856,3741.475,3958.725
2037,category,EB-4,Uncapped,50,3982.12,63.36793755681245,8.961579671245557,3964.111031407104,4000.128968592896,3855.225,4091.375
2038,category,EB-4,Uncapped,50,4107.4,68.06449522477988,9.625773226296246,4088.056284486213,4126.743715513786,4010.225,4233.5
2039,category,EB-4,Uncapped,50,4329.5,61.68062904996997,8.722958213817144,4311.970559179,4347.029440821,4226.225,4433.3
2040,category,EB-4,Uncapped,50,4459.86,74.35793467397808,10.515799968599243,4438.727708784499,4480.992291215501,4311.575,4600.0
2009,category,EB-5,Uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,category,EB-5,Uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,category,EB-5,Uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,category,EB-5,Uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,category,EB-5,Uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,category,EB-5,Uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,category,EB-5,Uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,category,EB-5,Uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,category,EB-5,Uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,category,EB-5,Uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,category,EB-5,Uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,category,EB-5,Uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,category,EB-5,Uncapped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,category,EB-5,Uncapped,50,5.98,2.637949110616822,0.3730623409084353,5.230303157804943,6.729696842195058,2.0,11.0
2023,category,EB-5,Uncapped,50,51.76,6.885536452949615,0.973761903597568,49.8031521916705,53.7168478083295,39.225,64.0
2024,category,EB-5,Uncapped,50,154.44,12.573311547293581,1.7781347714124827,150.866704395091,158.013295604909,133.45,177.775
2025,category,EB-5,Uncapped,50,164.28,13.234216629476728,1.871600864478954,160.51887724895343,168.04112275104657,139.575,188.64999999999998
2026,category,EB-5,Uncapped,50,48.46,7.335154381191876,1.0373474807981977,46.375372190289546,50.544627809710455,36.0,60.0
2027,category,EB-5,Uncapped,50,8.12,3.6513346735076455,0.5163767016037649,7.082302167426599,9.1576978325734,2.225,15.774999999999999
2028,category,EB-5,Uncapped,50,10.28,3.10391457908972,0.4389598094196258,9.397877236895349,11.16212276310465,6.0,15.774999999999999
2029,category,EB-5,Uncapped,50,12.76,4.12340259732079,0.5831371876255507,11.588141947898507,13.931858052101493,7.0,20.775
2030,category,EB-5,Uncapped,50,16.24,3.5774805865215784,0.5059321564585271,15.223291266713547,17.25670873328645,10.0,22.775
2031,category,EB-5,Uncapped,50,19.12,4.058953318383488,0.5740226831897208,17.966458230311456,20.273541769688546,12.225,27.549999999999997
2032,category,EB-5,Uncapped,50,23.04,4.981434921541284,0.7044812826122638,21.62429185944135,24.45570814055865,15.0,33.55
2033,category,EB-5,Uncapped,50,26.04,4.810532661753365,0.6803120532490353,24.67286174427019,27.40713825572981,17.225,34.775
2034,category,EB-5,Uncapped,50,27.3,5.5778351443870395,0.7888250109873441,25.714796791491633,28.88520320850837,17.45,37.324999999999996
2035,category,EB-5,Uncapped,50,29.66,5.180851714708298,0.7326830759584381,28.18761823389024,31.13238176610976,20.225,38.0
2036,category,EB-5,Uncapped,50,33.5,6.786090215150641,0.9596980817753391,31.571414499743845,35.428585500256155,22.0,43.775
2037,category,EB-5,Uncapped,50,35.36,5.201098785009623,0.7355464441002835,33.88186408017761,36.83813591982239,26.45,44.0
2038,category,EB-5,Uncapped,50,38.84,5.77948518292,0.8173426329219812,37.19748848462998,40.48251151537003,30.0,48.775
2039,category,EB-5,Uncapped,50,41.86,6.161135596360032,0.8713161519992004,40.10902463723167,43.61097536276833,30.225,54.0
2040,category,EB-5,Uncapped,50,41.88,7.6201665844986755,1.0776542931340292,39.71437261833184,44.04562738166816,29.225,56.87499999999999
2009,overall,All,Capped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,overall,All,Capped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,overall,All,Capped,50,34.7,6.351120743134833,0.898184109121037,32.89503145592738,36.504968544072625,24.225,45.55
2012,overall,All,Capped,50,159.1,14.620714966185783,2.0676813396771223,154.94483878151064,163.25516121848935,136.675,186.0
2013,overall,All,Capped,50,264.88,19.102986196735134,2.701570216124886,259.45099139230956,270.30900860769043,232.45,303.775
2014,overall,All,Capped,50,296.58,20.126224135668956,2.8462779132023757,290.8601903876406,302.29980961235935,265.0,332.325
2015,overall,All,Capped,50,358.12,20.337599641640935,2.8761709239322806,352.3401181335146,363.89988186648543,309.825,388.775
2016,overall,All,Capped,50,792.7,30.440473862599312,4.304933098155166,784.0489130484493,801.3510869515508,728.45,849.2
2017,overall,All,Capped,50,1064.04,35.4049229829493,5.0070122257261795,1053.9780322191773,1074.1019677808226,996.575,1114.775
2018,overall,All,Capped,50,1331.44,46.29812884657303,6.547544172732059,1318.2822173664679,1344.5977826335322,1252.125,1418.2
2019,overall,All,Capped,50,2140.58,48.44693709911613,6.851431550100627,2126.8115328180315,2154.3484671819683,2057.125,2231.2
2020,overall,All,Capped,50,2522.1,51.11022502436099,7.2280773405392065,2507.574634764397,2536.6253652356027,2450.125,2611.625
2021,overall,All,Capped,50,2831.44,62.042171306363564,8.774088010053424,2813.807810006604,2849.072189993396,2703.225,2908.775
