category,year,marital_group,sample_principals,sample_parents,sample_children,weighted_principals,weighted_children_parent_weights,weighted_parent_pct,children_per_100_principals,kish_effective_principals,kish_effective_parents
Unique proxy union (not EB mix),2016,Married,1878,830,1231,216769.0,134773.0,42.75611365093717,62.173558027208685,1318.7334211763016,584.6416007642445
Unique proxy union (not EB mix),2016,Unmarried,535,6,6,67523.0,1087.0,1.6098218384846645,1.6098218384846645,359.6730527124089,4.288427547409491
Unique proxy union (not EB mix),2017,Married,2062,945,1426,230997.0,157812.0,45.6642294055767,68.31777036065404,1395.1587486695107,613.9264318196879
Unique proxy union (not EB mix),2017,Unmarried,569,17,25,66092.0,3992.0,3.858258185559523,6.040065363432791,375.9921925811617,10.1764704041166
Unique proxy union (not EB mix),2018,Married,2053,920,1417,246954.0,158825.0,43.276075706406864,64.31359686419333,1389.1164820312888,637.3676455472028
Unique proxy union (not EB mix),2018,Unmarried,643,8,11,80217.0,964.0,0.9212511063739607,1.2017402794918783,444.24601122025854,7.329597766712746
Unique proxy union (not EB mix),2019,Married,2043,887,1355,228062.0,146341.0,42.35076426585753,64.16720014732836,1327.4139500022995,590.2716731895576
Unique proxy union (not EB mix),2019,Unmarried,654,16,23,81009.0,2353.0,2.08742238516708,2.904615536545322,419.71019511836033,13.382509722800728
Unique proxy union (not EB mix),2021,Married,1753,784,1205,195318.0,133068.0,43.93757871778331,68.12889749024667,1124.6723155310654,496.3729489236702
Unique proxy union (not EB mix),2021,Unmarried,622,14,19,78251.0,2093.0,2.1188227626484006,2.6747262015820885,363.459785530188,9.64203688504465
Unique proxy union (not EB mix),2022,Married,1671,714,1119,188582.0,120417.0,41.7505382274024,63.853920310528046,1059.800836119036,460.44512874845356
Unique proxy union (not EB mix),2022,Unmarried,648,15,25,82386.0,3465.0,2.6594324278396817,4.205811667030806,419.28600463969815,9.997357213515906
Unique proxy union (not EB mix),2023,Married,1812,784,1226,201948.0,129010.0,41.66419078178541,63.88278170618179,1097.6728649677295,489.8683109598417
Unique proxy union (not EB mix),2023,Unmarried,708,22,32,92818.0,3118.0,2.5350686289297335,3.3592622120709343,421.9598845318685,14.713401913913744
Unique proxy union (not EB mix),2024,Married,1873,806,1262,229177.0,152336.0,42.35852637917417,66.47089367606696,1175.5843330455893,494.0666791724499
Unique proxy union (not EB mix),2024,Unmarried,723,25,38,105453.0,4858.0,3.149270291030127,4.606791651256958,415.0112047408376,10.606611484410388
