category,nationality,MARST,sample_principals,sample_parents,sample_children,weighted_principals,weighted_children_parent_weights,weighted_parent_pct,children_per_100_principals,kish_effective_principals,kish_effective_parents
EB-5,ROW,5,6,3,7,519.0,391.0,32.5626204238921,75.33718689788054,5.268468715160287,2.8421733505821476
EB-5,ROW,6,335,9,9,41859.0,1277.0,3.0507178862371296,3.0507178862371296,220.68642976408444,5.706338902983116
Other_EB4,All,1,271,156,290,28488.0,32592.0,59.393428812131425,114.40606571187868,170.7209630780532,94.62342845924059
Other_EB4,All,2,14,5,7,2105.0,876.0,31.401425178147267,41.61520190023753,9.947010189398446,4.488745286992613
Other_EB4,All,4,4,0,0,424.0,0.0,0.0,0.0,2.888524695523635,0.0
Other_EB4,All,5,1,0,0,47.0,0.0,0.0,0.0,1.0,0.0
Other_EB4,All,6,106,1,2,11150.0,146.0,0.6547085201793722,1.3094170403587444,67.59868546255123,1.0
Other_EB4,India,1,30,16,28,4337.0,5398.0,66.91261240488816,124.46391514872032,16.90876965880539,9.688423503642245
Other_EB4,India,6,21,0,0,2973.0,0.0,0.0,0.0,13.274414392495574,0.0
Other_EB4,China,1,12,7,12,1113.0,1005.0,46.720575022461816,90.29649595687331,6.994861573036245,6.198991288399816
Other_EB4,China,2,1,1,2,86.0,172.0,100.0,200.0,1.0,1.0
Other_EB4,China,6,3,0,0,188.0,0.0,0.0,0.0,2.9927180355630822,0.0
Other_EB4,ROW,1,229,133,250,23038.0,26189.0,58.590155395433634,113.67740255230488,153.20778143353562,86.23968911377546
Other_EB4,ROW,2,13,4,5,2019.0,704.0,28.47944526993561,34.86874690440812,9.305336854864667,3.6760209470652985
Other_EB4,ROW,4,4,0,0,424.0,0.0,0.0,0.0,2.888524695523635,0.0
Other_EB4,ROW,5,1,0,0,47.0,0.0,0.0,0.0,1.0,0.0
Other_EB4,ROW,6,82,1,2,7989.0,146.0,0.9137564150707222,1.8275128301414445,54.95120489655772,1.0
Unique proxy union (not EB mix),All,1,16546,7793,12007,1879359.0,1330322.0,46.50207863425774,70.78594350520576,10877.884274991493,5108.1456963183255
