category,nationality,definition,marital_group,sample_principals,sample_parents,sample_children,weighted_principals,weighted_children_parent_weights,weighted_parent_pct,children_per_100_principals,kish_effective_principals,kish_effective_parents
EB-3,All,original,Married,8565,3675,5413,1019912.0,618813.0,41.96616963032105,60.67317572496451,5554.811742177226,2386.3368374302
EB-3,All,original,Unmarried,2656,76,108,344273.0,13018.0,2.7083157842758507,3.781301467149617,1667.1863234367586,40.433282762841756
EB-3,All,own_unmarried,All,11221,3746,5508,1364185.0,630014.0,32.01252029600091,46.18244592925446,7203.215693170502,2419.4614222791333
EB-3,All,own_unmarried,Married,8565,3670,5400,1019912.0,616996.0,41.9042034999098,60.49502310003216,5554.811742177226,2382.2309618566906
EB-3,All,own_unmarried,Unmarried,2656,76,108,344273.0,13018.0,2.7083157842758507,3.781301467149617,1667.1863234367586,40.433282762841756
EB-3,India,original,All,4833,1818,2266,617473.0,286723.0,37.39305200389329,46.43490484604185,3169.623878148373,1173.9648639735494
EB-3,India,original,Married,4247,1811,2259,536012.0,285630.0,42.871987940568495,53.28798608986366,2788.4614573628087,1169.3578164589217
EB-3,India,original,Unmarried,586,7,7,81461.0,1093.0,1.3417463571525023,1.3417463571525023,384.5840610902598,4.746377588926368
EB-3,India,own_unmarried,All,4833,1817,2263,617473.0,286430.0,37.36600628691457,46.38745337852829,3169.623878148373,1172.9876465074285
EB-3,India,own_unmarried,Married,4247,1810,2256,536012.0,285337.0,42.8408319216734,53.23332313455669,2788.4614573628087,1168.3803910086733
EB-3,India,own_unmarried,Unmarried,586,7,7,81461.0,1093.0,1.3417463571525023,1.3417463571525023,384.5840610902598,4.746377588926368
EB-3,China,original,All,459,139,176,51289.0,16939.0,26.331182124822085,33.02657489910117,314.1253662272199,106.53685607523148
EB-3,China,original,Married,301,136,172,31051.0,16497.0,42.43019548484751,53.12872371260185,211.9907349040103,103.59280677725359
EB-3,China,original,Unmarried,158,3,4,20238.0,442.0,1.630595908686629,2.1840102776954247,107.04818802246467,2.9968627882657275
EB-3,China,own_unmarried,All,459,136,173,51289.0,16531.0,25.53568991401665,32.231082688295736,314.1253662272199,104.05548508578607
EB-3,China,own_unmarried,Married,301,133,169,31051.0,16089.0,41.116228140800615,51.81475636855496,211.9907349040103,101.10660849079133
EB-3,China,own_unmarried,Unmarried,158,3,4,20238.0,442.0,1.630595908686629,2.1840102776954247,107.04818802246467,2.9968627882657275
EB-3,ROW,original,All,5929,1794,3079,695423.0,328169.0,27.744983988162602,47.18983985286653,3728.9055218029985,1170.7892105524768
EB-3,ROW,original,Married,4017,1728,2982,452849.0,316686.0,40.86218585002948,69.93191991149368,2573.6422997779828,1143.8520466735629
EB-3,ROW,original,Unmarried,1912,66,97,242574.0,11483.0,3.2571503953432765,4.73381318690379,1176.5759209120267,33.524426467121245
EB-3,ROW,own_unmarried,All,5929,1793,3072,695423.0,327053.0,27.736787537944533,47.02936198543908,3728.9055218029985,1170.2171328900954
EB-3,ROW,own_unmarried,Married,4017,1727,2975,452849.0,315570.0,40.84959887291349,69.68548014901214,2573.6422997779828,1143.2715475337227
EB-3,ROW,own_unmarried,Unmarried,1912,66,97,242574.0,11483.0,3.2571503953432765,4.73381318690379,1176.5759209120267,33.524426467121245
EB-5,All,original,All,4154,2112,3631,439833.0,367255.0,48.89719507176587,83.49873702064193,2679.066630051721,1389.0714460842464
EB-5,All,original,Married,3571,2070,3571,367363.0,359948.0,57.082232015744644,97.98156047288377,2323.8341505791636,1363.4187670384051
EB-5,All,original,Unmarried,583,42,60,72470.0,7307.0,7.4058230992134675,10.082792879812336,371.5634612935633,27.549664054019157
EB-5,All,own_unmarried,All,4154,2103,3617,439833.0,366113.0,48.7189455998072,83.239093019396,2679.066630051721,1382.2128241873406
EB-5,All,own_unmarried,Married,3571,2063,3559,367363.0,359004.0,56.922716767883536,97.72459393025427,2323.8341505791636,1358.267147195066
EB-5,All,own_unmarried,Unmarried,583,40,58,72470.0,7109.0,7.132606595832758,9.809576376431627,371.5634612935633,26.0512580256724
EB-5,India,original,All,793,399,563,85450.0,59285.0,49.8888238736103,69.37975424224693,514.8024423301887,263.30950293168706
EB-5,India,original,Married,750,397,560,80491.0,59045.0,52.726391770508506,73.35602738194332,484.7857296518617,261.8059318624225
EB-5,India,original,Unmarried,43,2,3,4959.0,240.0,3.8314176245210727,4.839685420447671,30.0174196548782,1.6334841628959276
EB-5,India,own_unmarried,All,793,397,560,85450.0,59022.0,49.659449970743125,69.07197191339965,514.8024423301887,261.64390685206513
EB-5,India,own_unmarried,Married,750,395,557,80491.0,58782.0,52.48288628542321,73.02928277695644,484.7857296518617,260.1414904091026
EB-5,India,own_unmarried,Unmarried,43,2,3,4959.0,240.0,3.8314176245210727,4.839685420447671,30.0174196548782,1.6334841628959276
EB-5,China,original,All,236,117,140,22614.0,12851.0,48.50535066772795,56.82762890244981,165.0199924103962,92.70544040472684
EB-5,China,original,Married,209,110,131,19901.0,12064.0,51.831566252952115,60.620069343249085,146.0963432183117,87.01711894361756
EB-5,China,original,Unmarried,27,7,9,2713.0,787.0,24.10615554736454,29.00847769996314,18.96537961066234,5.693466801554763
